temperature,humidity,wind_speed,solar_radiation,peak_hour_indicator,daily_units,monthly_units
39.85,42.84,13.89,363.13,19,14.02,420.7
19.99,40.96,0.14,844.71,1,3.84,115.13
29.6,36.28,1.13,418.38,1,4.15,124.59
37.51,29.08,3.76,440.86,18,12.98,389.46
33.23,37.95,10.04,634.24,24,16.81,504.37
6.13,44.87,13.32,774.48,1,3.81,114.36
15.27,67.18,6.9,33.79,5,6.13,184.01
0.81,24.38,9.1,593.16,9,7.34,220.09
37.93,34.74,2.83,186.73,12,10.24,307.2
22.28,76.63,12.07,345.95,9,8.56,256.9
5.29,30.28,14.51,347.97,18,11.65,349.48
25.23,43.99,4.03,469.06,23,15.08,452.36
22.82,80.53,7.42,334.14,11,9.71,291.24
11.12,30.84,1.29,107.36,1,2.68,80.39
0.11,25.79,8.39,145.63,19,11.74,352.35
25.22,53.92,7.54,33.44,22,14.55,436.54
18.41,41.17,2.17,470.25,10,8.3,249.09
29.75,59.44,6.63,954.45,2,6.31,189.37
18.41,76.27,5.01,115.68,7,6.77,203.15
33.35,29.6,7.83,946.26,20,14.43,432.85
19.84,60.65,8.78,733.36,2,5.48,164.27
20.24,55.39,0.13,637.5,19,12.91,387.37
34.45,30.09,11.42,645.28,6,7.42,222.7
13.16,63.68,10.7,826.73,10,8.82,264.55
1.03,39.15,5.49,106.92,9,6.97,209.21
-3.7,54.15,0.79,504.75,8,6.25,187.6
28.98,25.76,11.32,697.09,11,9.33,279.9
22.91,52.17,14.33,586.82,9,8.8,264.12
26.68,41.45,3.6,832.78,20,13.79,413.63
4.58,77.57,4.85,72.27,20,12.78,383.5
1.14,23.99,2.76,690.7,9,6.73,201.8
-4.35,49.3,8.65,534.03,8,6.42,192.48
10.78,52.09,2.32,379.16,15,10.55,316.63
21.55,70.75,5.34,340.27,2,5.09,152.78
12.65,60.2,10.46,620.83,24,15.84,475.13
14.69,66.7,8.4,891.0,1,4.87,145.97
35.69,74.39,5.8,496.18,9,9.25,277.5
10.67,80.35,6.3,824.72,9,8.28,248.43
18.13,41.97,8.43,402.16,13,10.16,304.85
30.26,57.66,0.09,102.39,8,8.12,243.67
12.84,78.81,1.18,61.51,21,13.57,407.17
22.99,89.26,13.22,51.33,5,6.79,203.7
33.81,82.27,1.17,380.15,3,6.25,187.48
37.73,46.0,10.6,337.24,21,15.0,449.85
1.62,33.66,13.8,717.94,4,5.05,151.37
36.7,54.26,4.06,742.82,17,12.83,384.79
17.15,71.91,5.56,50.85,16,11.73,352.04
6.62,54.48,8.53,221.12,16,10.46,313.79
15.66,53.82,13.23,274.26,20,13.5,404.96
39.1,78.68,14.13,547.61,3,7.33,219.83
17.17,45.3,11.09,144.52,6,6.19,185.79
9.79,80.19,1.3,133.94,1,3.42,102.46
23.5,48.48,10.04,943.79,21,15.37,461.24
5.81,42.98,6.15,804.2,16,11.53,345.84
-1.59,51.78,7.06,180.65,15,10.12,303.6
0.8,73.37,0.74,406.57,7,6.35,190.43
0.76,28.82,2.87,355.62,2,2.74,82.2
1.84,33.75,11.86,791.0,10,8.35,250.65
1.25,86.6,6.81,510.21,15,11.04,331.24
23.84,32.28,4.52,127.85,6,6.45,193.61
3.18,59.74,5.76,738.99,2,4.11,123.24
10.56,60.55,12.82,396.89,24,15.36,460.66
35.36,54.27,11.23,262.92,24,16.94,508.16
16.33,65.13,4.08,375.5,17,12.14,364.17
25.04,36.09,1.76,497.76,1,3.67,109.95
2.75,58.69,3.78,343.12,1,2.99,89.63
3.65,46.05,13.81,241.91,4,4.74,142.26
-3.16,66.32,8.72,398.5,20,12.37,371.13
2.6,29.89,8.0,19.17,16,9.95,298.49
7.54,59.96,8.95,772.5,8,7.54,226.08
2.97,32.97,5.49,170.94,1,2.92,87.68
-1.01,39.51,12.11,43.9,19,11.5,345.05
0.43,35.31,7.85,653.7,11,8.6,257.98
15.74,32.8,1.75,773.94,17,11.45,343.5
4.29,77.8,1.94,813.83,10,8.73,261.99
11.39,40.0,8.05,493.51,12,8.69,260.83
17.65,84.9,14.05,205.37,9,8.94,268.24
26.07,87.89,4.63,737.23,7,8.93,267.96
-3.23,59.99,13.04,699.71,12,9.45,283.45
30.97,30.01,11.46,246.27,15,11.29,338.84
23.26,46.22,3.72,903.41,8,8.09,242.6
-1.32,75.84,0.55,104.37,17,11.41,342.2
34.31,45.72,1.53,982.69,5,7.59,227.83
36.44,26.09,10.93,860.25,14,12.02,360.63
-2.25,58.97,3.0,687.9,2,3.74,112.24
7.46,79.16,5.57,938.75,16,12.55,376.59
31.28,75.71,7.53,722.31,17,13.18,395.47
28.67,32.26,10.88,190.46,3,4.85,145.48
3.3,67.09,1.7,442.16,23,14.09,422.68
4.42,35.44,6.1,71.5,1,2.46,73.68
11.67,35.27,7.28,389.66,18,12.16,364.95
16.8,81.19,8.11,741.6,18,13.8,414.05
22.82,37.48,12.28,386.44,4,5.92,177.73
11.6,38.43,2.58,330.29,15,10.39,311.62
15.81,20.05,12.12,595.36,19,12.66,379.93
28.64,80.95,10.39,872.2,19,14.94,448.3
-3.35,75.48,8.34,47.58,10,7.53,225.92
6.36,63.91,10.49,385.47,5,6.14,184.13
27.1,72.52,6.18,158.24,19,13.83,414.79
35.28,30.64,2.08,695.35,11,9.83,294.98
18.03,52.08,9.99,105.72,7,6.88,206.53
18.95,44.59,7.87,664.81,5,6.63,198.75
-0.18,26.56,9.59,286.18,20,11.85,355.45
15.13,54.03,5.07,198.92,12,9.07,272.08
18.97,84.45,13.6,936.35,19,14.76,442.79
5.91,22.8,8.81,18.52,15,9.53,285.82
7.12,40.4,1.28,437.78,12,9.03,270.88
11.98,34.53,6.75,21.63,4,4.36,130.8
-4.1,36.67,11.35,483.59,12,8.22,246.66
9.49,83.59,11.91,501.05,18,13.39,401.81
4.52,52.76,7.42,321.66,17,11.29,338.69
9.74,52.64,13.42,132.16,19,12.59,377.72
0.39,73.24,4.02,376.39,16,10.81,324.42
35.07,30.81,6.16,672.26,11,9.5,285.11
21.71,54.11,13.48,782.4,2,5.51,165.31
25.56,50.1,13.44,530.75,16,11.83,355.02
30.51,61.78,10.29,589.83,1,5.54,166.17
17.43,89.97,12.88,200.62,17,13.04,391.12
-1.09,73.86,1.33,287.33,18,11.44,343.22
19.17,47.85,12.97,161.9,13,10.16,304.82
21.41,77.93,4.81,249.3,5,6.63,198.76
28.54,31.95,2.67,224.89,24,15.06,451.68
14.42,22.13,3.59,519.45,6,5.56,166.93
0.74,34.31,6.27,562.69,1,2.88,86.49
7.77,43.83,3.77,944.95,10,8.52,255.67
11.34,55.74,4.81,195.57,5,5.66,169.81
24.07,63.06,2.02,641.68,1,4.7,140.97
20.69,83.74,4.44,817.26,23,16.43,492.84
11.02,55.69,8.58,560.24,11,9.24,277.22
39.39,55.09,6.63,255.0,24,16.64,499.29
22.26,23.52,5.2,262.55,24,15.29,458.67
5.68,22.44,11.2,39.25,7,5.44,163.26
-0.42,58.58,13.4,305.44,18,12.24,367.18
1.88,50.67,11.35,744.6,21,13.81,414.22
6.07,78.74,4.98,47.52,20,13.4,401.93
2.23,31.25,11.17,219.3,21,12.84,385.11
3.4,21.75,2.28,706.23,10,7.1,212.93
7.83,51.43,1.95,782.65,15,10.8,324.11
2.8,36.62,5.18,455.32,4,4.35,130.64
35.35,23.47,12.12,698.07,16,12.5,374.89
-1.39,70.72,3.7,387.95,15,10.32,309.59
18.6,27.81,0.95,159.91,15,10.51,315.33
13.47,62.58,1.98,398.15,12,9.56,286.82
39.21,39.67,12.88,579.97,8,8.9,267.14
0.04,32.14,9.51,948.05,8,6.6,197.86
12.9,46.58,3.8,68.75,18,12.24,367.31
38.63,76.1,8.33,507.39,6,8.55,256.57
33.95,47.45,7.91,328.92,5,7.0,210.05
31.77,72.55,9.83,508.31,2,5.67,170.19
6.61,28.78,3.5,23.98,12,8.07,242.12
2.69,74.09,12.97,313.03,4,4.96,148.66
25.09,36.59,4.64,819.87,23,15.48,464.51
36.82,67.42,10.41,553.94,13,11.2,336.05
20.05,59.6,0.24,450.58,17,12.21,366.17
20.72,85.04,5.59,285.53,16,12.34,370.17
7.6,47.11,5.28,298.04,9,7.17,215.06
29.63,24.63,8.15,383.1,1,4.1,123.01
3.42,21.34,1.09,835.57,15,10.34,310.25
9.57,77.88,11.85,967.21,12,9.97,299.02
14.14,56.73,3.27,438.66,5,6.17,185.11
17.84,74.27,10.16,393.35,23,15.25,457.39
5.91,36.41,12.05,846.55,24,14.77,443.05
0.17,44.16,8.43,426.91,18,11.26,337.7
22.48,22.11,11.11,552.02,20,13.72,411.49
7.99,87.3,9.93,230.94,2,4.58,137.38
21.16,66.75,5.33,743.5,4,6.67,200.06
1.95,85.32,12.13,531.99,15,11.22,336.73
16.65,38.58,4.42,809.03,6,6.07,182.04
18.97,62.8,8.57,780.73,22,15.46,463.77
-2.67,67.49,11.18,215.0,12,8.38,251.32
10.15,42.23,5.68,715.64,18,12.53,375.82
1.05,79.37,4.54,800.05,20,13.24,397.33
-2.15,86.3,6.89,346.11,4,5.02,150.51
39.55,81.94,12.27,172.61,1,5.92,177.55
9.51,71.73,13.95,2.63,15,11.29,338.56
31.44,39.42,8.18,450.9,18,12.93,387.85
6.46,39.71,9.92,352.43,14,10.1,302.9
25.67,87.44,13.55,554.91,3,6.18,185.53
29.21,20.72,1.48,188.04,15,10.91,327.43
21.8,70.12,3.48,859.67,5,7.11,213.43
16.22,69.44,10.63,257.76,24,15.47,464.08
13.53,63.59,12.36,226.43,22,14.35,430.44
10.7,89.31,12.86,480.71,3,5.32,159.58
36.83,41.83,6.23,498.85,22,15.25,457.4
32.38,43.8,1.34,215.09,7,6.95,208.61
38.43,25.53,6.57,271.86,6,7.04,211.34
0.59,51.0,3.46,169.71,22,13.82,414.53
27.89,38.27,4.37,718.46,1,4.02,120.64
37.23,44.04,11.58,770.09,19,14.4,432.02
3.16,78.42,1.13,462.33,7,6.8,203.88
-2.01,85.48,12.41,714.09,4,6.11,183.3
28.35,33.0,6.42,735.94,12,10.01,300.36
20.85,46.08,8.94,138.28,20,13.41,402.43
32.88,85.0,1.34,966.18,23,16.82,504.67
1.29,24.33,5.06,821.03,18,11.29,338.78
30.79,26.47,1.35,204.48,9,7.37,221.09
4.07,31.4,14.42,186.17,19,11.86,355.77
2.36,61.66,12.11,125.66,22,13.39,401.79
2.39,30.53,6.89,138.38,4,4.13,123.78
31.66,87.77,3.35,748.16,1,5.49,164.83
24.93,51.27,14.0,469.65,9,8.7,260.86
18.54,55.11,5.17,782.93,15,11.1,333.04
11.15,37.27,2.41,746.25,22,14.55,436.62
34.47,52.97,8.45,604.61,8,9.04,271.07
12.66,66.33,14.16,686.37,15,11.26,337.82
31.75,72.58,0.06,18.36,15,11.4,342.08
14.76,72.77,3.57,311.78,18,12.73,381.78
11.96,60.45,14.08,637.82,7,6.96,208.89
15.82,83.31,2.57,9.34,22,14.4,431.94
8.56,77.22,1.7,32.98,18,11.81,354.23
28.64,72.99,8.55,851.89,16,13.42,402.48
17.62,23.89,12.93,684.02,2,4.78,143.5
5.45,20.48,7.16,265.37,4,4.24,127.26
35.48,34.87,14.92,687.96,20,14.63,438.82
12.28,66.45,10.19,792.46,16,12.47,374.14
19.46,48.78,1.11,306.79,3,5.22,156.64
35.79,48.17,14.89,36.04,24,16.71,501.15
23.09,81.92,6.12,932.78,23,16.03,481.04
0.26,82.69,4.31,345.18,2,3.8,114.06
37.29,83.64,8.37,106.48,3,6.57,197.15
23.25,41.97,4.56,491.86,5,6.17,185.16
10.07,68.37,1.3,768.47,2,4.2,125.91
1.27,39.01,0.02,221.65,19,11.13,333.84
30.73,33.34,6.74,269.49,24,16.06,481.9
22.9,32.92,12.55,242.71,20,13.79,413.75
19.01,43.95,8.58,991.67,2,4.94,148.07
35.23,50.1,14.99,197.4,2,5.8,174.04
30.49,78.17,4.3,575.52,22,15.89,476.58
1.83,28.39,4.21,925.26,24,15.02,450.49
9.03,71.44,2.4,146.9,23,14.53,435.79
6.18,57.2,2.46,970.85,20,13.11,393.34
28.48,40.16,4.28,947.48,18,13.24,397.1
-3.49,54.5,11.89,884.57,20,13.11,393.42
20.65,41.0,13.59,214.56,21,14.03,420.76
29.31,61.73,14.63,634.06,14,11.38,341.35
34.45,50.37,3.48,760.89,15,12.59,377.61
10.39,31.51,13.22,986.03,12,9.28,278.3
31.96,28.16,4.92,180.42,11,8.69,260.63
-0.02,58.27,1.69,766.03,11,8.51,255.24
33.09,83.17,13.05,338.8,7,8.59,257.56
0.74,44.08,9.54,175.63,12,8.32,249.6
12.88,71.31,2.47,421.38,16,11.84,355.12
30.88,66.11,6.45,793.84,5,7.37,221.1
1.75,85.21,4.31,464.85,2,4.5,134.86
5.32,77.47,11.05,537.52,22,14.91,447.24
27.5,59.66,6.8,995.16,16,12.29,368.78
27.4,65.99,14.84,399.11,23,16.1,483.15
23.85,82.89,0.82,615.4,15,12.37,371.24
26.23,47.97,5.33,365.24,11,8.81,264.39
19.42,42.88,7.23,392.79,6,6.34,190.3
6.33,20.76,7.55,695.64,13,9.58,287.4
10.56,77.86,4.74,937.89,19,13.52,405.55
3.17,76.07,10.94,542.36,10,8.51,255.28
35.88,27.31,13.12,768.4,24,16.98,509.51
21.25,60.38,14.08,89.21,19,12.98,389.44
13.04,52.48,12.08,211.16,5,5.34,160.21
15.79,28.31,12.76,502.13,21,14.1,423.0
37.63,88.64,8.26,20.01,7,8.79,263.71
1.9,35.03,12.39,252.85,11,7.89,236.77
21.38,24.71,4.55,517.4,14,10.23,306.94
17.76,61.64,5.98,14.96,23,15.15,454.53
22.52,71.72,4.75,264.55,21,14.71,441.18
-4.19,22.27,7.01,514.03,16,9.73,291.77
34.25,66.11,4.28,573.15,18,13.25,397.59
36.95,57.26,14.42,925.75,21,15.83,474.92
20.43,27.23,4.69,645.35,23,15.21,456.33
26.35,32.08,1.47,414.74,23,15.31,459.41
36.51,59.76,7.9,930.35,4,7.64,229.33
26.83,40.75,0.86,784.88,1,4.85,145.39
1.86,85.68,1.66,200.01,22,14.14,424.1
20.93,77.31,3.29,130.84,15,11.27,338.01
22.3,88.85,6.97,675.81,14,12.05,361.55
14.09,38.18,6.5,559.88,19,12.96,388.88
28.14,87.88,12.0,789.67,5,7.85,235.57
37.05,50.19,11.09,738.81,4,6.51,195.45
36.65,44.33,6.39,625.21,13,11.46,343.87
15.29,23.52,5.01,986.38,18,12.33,369.81
0.1,23.69,4.75,533.59,12,8.02,240.54
39.32,68.44,11.61,113.11,23,16.43,492.77
32.75,52.06,0.78,828.27,21,15.2,456.12
0.61,35.86,0.19,251.85,15,9.22,276.48
36.44,62.98,11.93,777.3,23,17.05,511.61
34.15,37.7,7.16,957.11,9,8.92,267.69
18.35,60.43,1.96,696.8,4,5.57,167.05
21.61,45.14,3.53,596.03,5,6.09,182.75
12.96,77.65,13.99,460.39,9,8.81,264.34
-2.54,77.45,12.89,364.41,13,10.14,304.16
10.08,53.41,10.65,353.0,10,8.55,256.63
31.13,44.56,7.23,636.37,16,12.74,382.24
-4.79,45.38,7.8,751.27,13,8.79,263.82
10.01,76.4,14.63,678.52,4,5.72,171.51
12.92,42.97,14.49,198.41,21,13.7,410.88
19.18,34.63,3.23,493.99,13,9.53,285.99
36.39,25.93,12.17,791.64,21,15.32,459.69
10.59,52.67,2.96,475.7,8,7.32,219.57
10.61,53.75,3.2,536.62,13,10.21,306.27
28.19,78.86,10.14,771.14,15,12.32,369.5
15.35,35.49,6.08,661.27,20,13.31,399.2
5.11,46.67,13.97,409.34,20,13.02,390.56
15.36,76.59,1.34,895.41,13,10.47,314.23
1.34,77.65,7.67,162.57,23,14.6,438.09
2.94,46.92,13.78,995.52,5,5.94,178.12
17.43,52.14,13.56,118.85,22,14.39,431.6
13.85,41.23,2.35,14.95,22,13.47,403.96
36.17,85.28,5.5,890.02,6,8.09,242.58
11.31,28.31,9.29,244.95,5,5.18,155.31
21.13,85.36,2.39,729.7,13,10.9,327.01
23.45,67.87,14.52,811.02,5,6.78,203.34
-4.41,57.21,13.72,858.99,13,9.5,285.07
24.86,22.29,2.5,991.59,24,15.53,466.02
3.01,53.29,1.82,294.04,20,12.46,373.75
38.25,48.54,1.28,710.24,23,15.76,472.91
1.69,31.29,13.64,115.4,8,6.24,187.28
13.66,65.95,2.9,406.81,9,8.19,245.65
-1.16,87.98,6.24,847.97,21,14.37,431.01
39.86,59.35,6.73,367.66,19,14.55,436.6
17.6,70.03,8.99,591.1,20,14.09,422.8
21.79,24.79,1.08,503.77,15,10.64,319.22
-1.98,49.24,3.4,645.95,22,13.94,418.32
28.75,28.15,13.97,972.89,10,9.32,279.6
4.45,62.9,13.63,55.74,11,8.65,259.39
35.41,85.69,11.72,573.96,5,7.84,235.34
4.23,66.32,0.29,863.03,9,7.83,234.83
3.58,25.38,4.91,481.38,11,8.08,242.26
-3.36,44.83,9.42,78.53,19,11.26,337.94
16.24,58.55,4.13,560.54,2,4.51,135.18
20.42,48.22,13.64,332.07,6,6.45,193.53
-2.04,78.36,9.51,154.94,23,14.26,427.93
29.9,77.03,1.08,849.03,21,15.15,454.42
15.4,62.83,13.64,521.6,1,4.54,136.1
18.6,46.14,14.37,933.28,3,6.02,180.45
14.83,37.87,1.17,806.02,3,5.13,153.8
13.03,27.41,7.99,692.97,14,10.0,299.91
20.18,44.84,4.55,5.03,20,13.54,406.09
1.99,48.92,5.89,427.82,22,13.78,413.29
3.19,67.31,2.69,197.49,5,5.18,155.5
33.78,66.07,8.67,910.8,17,14.02,420.51
37.58,24.91,14.37,174.58,15,11.71,351.37
11.8,47.67,7.55,286.06,6,6.31,189.15
7.18,32.72,1.24,516.84,14,9.26,277.92
23.98,30.98,9.3,263.36,14,10.33,309.88
13.39,77.91,5.1,209.86,17,12.45,373.58
-3.86,22.93,12.84,599.1,8,6.25,187.62
2.03,49.34,6.52,88.93,8,6.56,196.69
27.22,31.77,2.89,58.17,19,12.73,381.88
24.65,81.55,2.87,372.25,9,9.16,274.93
-3.78,58.99,11.53,720.66,11,8.34,250.26
4.99,36.2,3.98,554.81,13,9.22,276.7
5.4,55.17,11.51,422.88,13,9.26,277.94
25.24,71.2,3.09,565.75,24,16.53,496.03
-4.11,87.07,4.83,365.45,19,12.78,383.34
-0.32,35.43,6.98,936.15,21,12.88,386.44
31.0,82.03,14.15,54.9,19,14.35,430.37
3.03,85.4,13.98,673.39,5,6.37,191.01
24.37,84.15,3.1,891.28,16,12.51,375.3
5.72,64.48,5.37,803.88,9,7.96,238.81
-0.53,64.09,2.24,184.04,20,12.2,366.03
5.94,48.22,7.65,295.93,22,13.7,411.08
27.5,72.67,6.91,717.05,3,6.14,184.11
33.51,57.19,13.51,84.27,19,14.05,421.41
32.36,67.42,13.95,811.86,5,7.97,239.13
12.87,49.99,5.75,718.91,8,7.64,229.26
25.06,71.2,7.38,729.61,14,11.15,334.53
4.22,77.71,13.44,100.24,24,15.7,471.0
8.19,30.25,12.1,717.76,3,4.78,143.45
35.34,78.31,0.05,679.82,24,16.55,496.46
-4.41,57.82,4.8,830.92,13,9.73,291.88
-1.15,79.13,6.33,41.6,11,7.96,238.7
4.35,50.19,3.45,23.11,8,6.43,192.82
-3.81,46.53,2.99,373.01,19,11.67,350.09
3.16,84.05,0.57,148.79,10,7.92,237.75
21.24,37.58,9.65,558.38,18,13.05,391.53
13.96,79.09,3.94,917.35,18,13.25,397.59
35.17,53.88,0.79,391.48,7,7.33,219.8
31.78,55.99,3.46,844.95,16,13.1,393.14
10.38,41.59,12.03,0.24,6,6.13,183.98
6.67,60.11,12.77,168.51,16,11.27,338.16
12.09,42.76,7.25,30.42,16,10.68,320.26
21.56,22.75,6.24,328.15,23,14.14,424.24
7.06,39.04,14.67,908.19,24,15.77,473.19
23.09,20.45,3.01,96.95,1,2.83,84.78
13.42,88.48,3.23,606.41,24,15.71,471.38
19.84,87.6,4.38,451.5,19,13.86,415.93
14.63,47.66,2.59,938.47,3,4.86,145.83
8.25,70.99,5.69,122.52,6,5.63,169.0
37.68,44.21,13.66,212.03,4,6.31,189.39
29.36,66.98,9.23,29.54,4,5.75,172.54
1.31,76.38,6.18,433.94,4,4.87,146.18
34.08,86.27,14.02,277.83,10,9.7,291.14
16.93,48.01,0.73,869.91,9,7.9,237.11
35.25,74.83,3.15,604.94,8,9.17,275.23
30.99,38.61,8.49,614.09,19,14.0,419.99
14.13,89.32,9.23,531.91,17,12.75,382.64
-3.99,21.8,0.59,91.85,17,9.85,295.59
7.09,62.25,6.05,445.02,1,3.26,97.76
19.37,66.17,9.74,999.51,20,14.15,424.59
23.51,68.16,10.47,835.23,14,11.45,343.37
6.6,28.43,9.57,893.46,22,14.12,423.7
1.27,85.7,4.81,823.23,20,13.98,419.54
32.57,32.68,1.4,103.04,11,9.03,270.97
39.3,63.59,6.41,227.45,3,6.05,181.46
18.66,35.59,1.93,3.12,24,14.32,429.72
2.73,41.51,14.21,303.51,8,6.98,209.31
7.25,58.25,7.13,108.61,22,13.71,411.42
-4.17,49.2,4.76,472.79,10,7.63,228.81
36.14,31.22,11.49,677.13,17,12.97,388.99
0.3,31.97,7.47,874.51,8,6.99,209.74
20.94,49.27,4.65,749.22,22,15.33,459.86
7.33,73.01,12.18,938.59,1,5.05,151.55
19.94,82.86,13.01,53.9,20,14.13,424.0
24.31,25.89,10.1,12.18,21,13.56,406.8
32.34,47.52,0.7,661.34,7,7.52,225.46
4.29,27.02,8.49,289.35,24,14.73,442.04
-4.51,21.16,11.45,253.5,9,6.25,187.59
1.16,66.32,2.05,330.89,12,8.4,252.13
35.5,62.17,3.43,269.8,22,15.32,459.72
34.33,31.41,13.24,511.44,9,8.38,251.4
21.88,36.37,0.3,440.15,20,13.27,398.2
22.02,21.66,11.29,512.43,24,15.45,463.4
24.93,78.45,7.11,672.71,3,6.04,181.17
2.89,88.23,6.7,387.13,4,5.07,152.07
36.15,29.48,0.11,251.31,10,9.1,272.85
13.84,36.2,12.29,166.2,4,5.22,156.74
12.24,80.79,5.4,349.47,22,15.08,452.34
18.35,84.85,8.11,741.81,9,8.97,269.0
-2.89,49.37,10.16,756.7,22,14.17,424.96
2.48,23.54,10.54,666.91,1,3.06,91.9
28.21,22.76,14.34,234.03,5,5.73,171.93
-1.27,60.18,7.97,588.09,9,7.09,212.74
22.14,47.5,6.0,570.69,5,6.15,184.58
6.04,22.01,14.31,484.27,6,5.29,158.79
12.52,60.83,9.63,549.98,19,13.68,410.39
7.99,20.79,4.47,491.79,8,5.99,179.72
11.01,75.12,1.9,565.46,10,8.62,258.48
27.36,41.45,12.64,715.51,11,9.74,292.31
8.37,22.82,5.43,109.63,13,8.45,253.44
20.49,61.18,9.91,749.63,20,14.37,430.99
16.42,47.84,7.06,135.89,4,4.78,143.27
24.87,88.17,2.98,66.63,11,9.95,298.4
37.16,58.09,9.03,976.08,12,11.1,332.97
27.97,39.27,0.91,956.99,5,6.76,202.78
4.67,69.66,6.2,60.44,10,8.09,242.67
-3.6,39.0,8.2,443.25,24,14.68,440.36
6.8,83.3,6.54,186.24,7,7.22,216.73
21.78,46.23,11.23,485.34,21,14.44,433.32
-2.69,58.49,12.42,830.18,9,7.63,228.8
17.34,23.54,11.57,950.61,9,8.14,244.16
21.86,49.83,0.58,634.25,10,9.01,270.3
10.04,78.27,2.91,353.91,10,8.89,266.59
29.69,76.4,8.05,603.33,2,5.46,163.83
-0.2,35.7,14.02,312.0,4,4.32,129.64
-1.62,35.83,12.52,909.82,8,7.2,215.92
27.77,77.21,12.64,870.4,14,12.11,363.42
17.3,85.13,4.55,558.23,17,12.59,377.83
25.98,26.68,6.44,324.8,13,9.76,292.85
14.57,51.5,7.06,293.39,21,13.87,415.99
6.09,43.62,2.36,33.42,24,14.78,443.43
31.86,80.95,0.47,815.82,18,14.03,421.04
30.97,25.85,14.2,450.38,18,12.65,379.52
26.26,34.78,3.61,325.13,13,9.6,288.15
7.25,72.67,3.6,471.11,8,6.94,208.12
21.56,23.59,1.25,818.74,12,9.46,283.95
11.24,54.48,13.93,124.61,23,14.74,442.16
-0.88,50.95,8.7,857.66,24,14.8,443.96
36.28,43.41,10.01,897.51,21,15.58,467.25
1.16,47.62,13.67,946.71,1,4.11,123.25
37.76,57.1,5.18,397.49,20,14.34,430.26
15.07,31.3,9.32,217.14,18,11.72,351.61
3.33,60.04,0.58,373.64,3,4.75,142.47
19.39,76.38,2.8,332.91,12,9.79,293.64
34.28,73.21,12.47,176.15,19,14.49,434.68
27.95,30.77,11.5,607.27,13,10.42,312.54
31.3,30.45,5.26,476.62,10,9.1,273.04
24.65,38.77,5.65,865.7,15,11.81,354.36
26.15,45.28,8.0,32.11,20,13.65,409.59
33.21,48.59,0.0,643.87,2,5.63,168.94
6.24,67.58,3.62,762.95,19,13.47,404.22
17.02,23.97,3.12,759.49,3,4.76,142.91
4.95,22.43,3.76,886.07,14,9.43,282.98
39.45,47.43,12.09,729.03,7,8.41,252.34
37.48,68.8,4.2,927.81,8,9.56,286.86
-3.23,33.54,2.87,332.66,11,7.58,227.38
26.75,64.91,7.56,503.21,22,15.04,451.31
36.64,38.19,12.98,14.08,20,13.55,406.51
3.13,82.03,3.62,6.96,6,6.1,182.86
20.56,82.7,1.18,240.13,11,9.21,276.25
36.2,40.81,5.35,100.81,17,12.39,371.61
-3.47,36.1,11.21,260.21,10,7.39,221.75
26.38,48.79,8.26,177.04,24,15.78,473.48
8.38,36.84,12.25,28.52,17,10.64,319.05
36.6,67.07,14.39,909.3,21,15.7,470.94
38.7,77.82,11.89,8.22,2,5.58,167.27
37.49,67.12,9.06,736.08,6,7.98,239.48
16.34,77.7,7.4,152.15,5,6.31,189.32
33.79,47.79,0.6,912.23,4,6.58,197.39
33.0,30.94,14.76,892.8,2,5.31,159.24
9.36,71.66,5.75,653.9,12,9.3,278.85
32.3,45.23,2.28,672.23,3,5.43,162.96
-3.33,66.99,10.0,5.34,6,5.96,178.88
21.83,38.95,4.26,984.87,24,15.95,478.56
5.35,25.69,8.79,877.83,14,10.29,308.7
0.43,89.48,8.8,895.11,8,8.32,249.56
-1.54,30.93,6.69,659.24,21,12.91,387.4
26.33,89.19,12.54,344.79,21,15.53,465.85
10.29,88.41,3.97,893.65,14,10.99,329.66
27.61,75.57,6.73,291.52,3,6.07,182.22
-2.06,66.16,8.07,562.71,16,10.8,323.92
9.19,60.45,9.95,99.73,15,10.9,326.96
19.28,80.63,11.76,921.96,7,7.93,238.05
30.58,40.26,5.92,140.77,15,11.43,342.78
9.34,52.74,9.69,224.9,13,9.14,274.13
23.17,63.36,2.26,558.13,6,7.43,222.97
34.87,48.78,13.99,764.09,15,12.21,366.21
22.71,49.92,5.75,619.35,17,12.58,377.41
5.48,43.12,10.94,232.13,4,4.68,140.53
-3.9,59.5,0.31,0.94,22,12.87,386.14
34.15,79.54,3.08,757.15,22,16.29,488.8
-4.04,34.11,7.31,985.21,14,10.13,303.96
34.36,85.41,13.17,809.91,15,12.67,380.18
18.8,68.24,7.91,460.21,12,10.42,312.63
37.26,77.63,13.95,903.77,19,15.35,460.4
30.95,58.93,7.26,409.85,22,15.66,469.82
39.91,74.57,7.36,524.93,10,10.12,303.49
10.78,21.13,1.8,477.13,6,5.46,163.94
29.52,77.29,12.04,447.62,9,9.7,290.99
13.09,22.81,3.7,775.19,2,3.91,117.35
16.59,82.29,13.49,526.77,4,6.44,193.26
23.24,89.44,13.66,316.72,9,8.7,260.92
34.32,40.58,14.15,258.16,15,11.37,341.06
39.28,34.72,7.8,37.75,13,10.57,317.17
29.57,73.58,10.16,583.2,20,15.05,451.65
13.8,37.71,11.68,229.96,8,7.11,213.21
13.96,80.59,1.97,148.13,19,12.66,379.81
28.19,27.2,9.01,653.83,19,13.32,399.7
